dates,previous_close_ADA,close_ADA,sentiment_ADA,previous_volume_ADA
1/2/2022,0.137697506,0.137758398,0.476088661,0.014088495
1/3/2022,0.137758398,0.132163703,0.375661247,0.023038579
1/4/2022,0.132163703,0.131165802,0.463329434,0.032606991
1/5/2022,0.131165802,0.123600197,0.524374032,0.040972074
1/6/2022,0.123600197,0.127978206,0.464876913,0.061709889
1/7/2022,0.127978206,0.121154702,0.49964392,0.051491886
1/8/2022,0.121154702,0.118751204,0.517755374,0.045606908
1/9/2022,0.118751204,0.117385995,0.406963422,0.036556087
1/10/2022,0.117385995,0.1128052,0.50808784,0.037329112
1/11/2022,0.1128052,0.118510997,0.502132525,0.047688032
1/12/2022,0.118510997,0.130453503,0.482115573,0.040372989
1/13/2022,0.130453503,0.123316097,0.498608161,0.026569351
1/14/2022,0.123316097,0.129092598,0.467799646,0.026867856
1/15/2022,0.129092598,0.129626298,0.423787771,0.031719846
1/16/2022,0.129626298,0.1407251,0.483901339,0.044761619
1/17/2022,0.1407251,0.159413099,0.480125899,0.056174813
1/18/2022,0.159413099,0.146554101,0.48999165,0.034802825
1/19/2022,0.146554101,0.134175706,0.461512312,0.029574537
1/20/2022,0.134175706,0.125805497,0.453485478,0.03281601
1/21/2022,0.125805497,0.112323296,0.51864584,0.035679028
1/22/2022,0.112323296,0.106671596,0.523187782,0.040662222
1/23/2022,0.106671596,0.112237096,0.517432396,0.02781034
1/24/2022,0.112237096,0.106659806,0.504910719,0.025396637
1/25/2022,0.106659806,0.104357398,0.516328671,0.023398171
1/26/2022,0.104357398,0.107904696,0.47559031,0.02557745
1/27/2022,0.107904696,0.104353297,0.473752487,0.02666765
1/28/2022,0.104353297,0.105060601,0.483375661,0.028630367
1/29/2022,0.105060601,0.105956995,0.473814456,0.033670981
1/30/2022,0.105956995,0.103747296,0.494484134,0.028661733
1/31/2022,0.103747296,0.105230296,0.527935606,0.0245568
2/1/2022,0.105230296,0.1088624,0.480028818,0.03838086
2/2/2022,0.1088624,0.102890599,0.536276834,0.065049047
2/3/2022,0.102890599,0.105644405,0.447586876,0.036488966
2/4/2022,0.105644405,0.113562405,0.465184774,0.035530596
2/5/2022,0.113562405,0.112734497,0.47796683,0.068084113
2/6/2022,0.112734497,0.114454699,0.491681825,0.081094024
2/7/2022,0.114454699,0.119730699,0.58552075,0.112520556
2/8/2022,0.119730699,0.117872,0.528795837,0.090565147
2/9/2022,0.117872,0.119481003,0.501465776,0.058850487
2/10/2022,0.119481003,0.115247798,0.512797903,0.126676536
2/11/2022,0.115247798,0.108034694,0.497925107,0.106271832
2/12/2022,0.108034694,0.105819905,0.563519394,0.080358295
2/13/2022,0.105819905,0.104581904,0.415989672,0.075324743
2/14/2022,0.104581904,0.105026698,0.505818209,0.071594012
2/15/2022,0.105026698,0.110758603,0.498601452,0.089798883
2/16/2022,0.110758603,0.108498096,0.481655394,0.069486212
2/17/2022,0.108498096,0.101989496,0.44760763,0.058418281
2/18/2022,0.101989496,0.099711299,0.501920574,0.049180328
2/19/2022,0.099711299,0.099770302,0.455226949,0.045828772
2/20/2022,0.099770302,0.093290198,0.508644083,0.114548905
2/21/2022,0.093290198,0.085823601,0.519601469,0.070423615
2/22/2022,0.085823601,0.088901699,0.494967366,0.105620514
2/23/2022,0.088901699,0.0869169,0.440663893,0.112019001
2/24/2022,0.0869169,0.085342503,0.47389208,0.084813346
2/25/2022,0.085342503,0.0898027,0.476171817,0.082482863
2/26/2022,0.0898027,0.0887918,0.474072915,0.148841421
2/27/2022,0.0887918,0.085833502,0.507563767,0.191419803
2/28/2022,0.085833502,0.095982802,0.512349181,0.157325562
3/1/2022,0.095982802,0.096234602,0.486645752,0.097753301
3/2/2022,0.096234602,0.093866199,0.479427966,0.081182551
3/3/2022,0.093866199,0.0902659,0.54565573,0.049371604
3/4/2022,0.0902659,0.084288901,0.521019453,0.071644902
3/5/2022,0.084288901,0.086567199,0.506718095,0.07325099
3/6/2022,0.086567199,0.082375199,0.475544363,0.05348048
3/7/2022,0.082375199,0.079737902,0.496401358,0.042047956
3/8/2022,0.079737902,0.080124998,0.472478344,0.035571143
3/9/2022,0.080124998,0.084929299,0.529845711,0.053177332
3/10/2022,0.084929299,0.080631602,0.53437555,0.042154289
3/11/2022,0.080631602,0.079012501,0.537220124,0.036334609
3/12/2022,0.079012501,0.079067397,0.445794277,0.042248931
3/13/2022,0.079067397,0.0790995,0.520622535,0.058710861
3/14/2022,0.0790995,0.080391699,0.469034161,0.037381479
3/15/2022,0.080391699,0.080000597,0.420104226,0.045454517
3/16/2022,0.080000597,0.083837402,0.506521988,0.095029622
3/17/2022,0.083837402,0.083678401,0.455316493,0.100464958
3/18/2022,0.083678401,0.085343301,0.551774961,0.113928355
3/19/2022,0.085343301,0.090109903,0.471342828,0.079702829
3/20/2022,0.090109903,0.0877092,0.53155058,0.043169999
3/21/2022,0.0877092,0.091678202,0.532639279,0.040640847
