Date,Score
2023-02-23,0.5804028285634852
2023-02-24,0.47608866059217686
2023-02-25,0.37566124667718154
2023-02-26,0.46332943430981854
2023-02-27,0.5243740324147113
2023-02-28,0.4648769127941313
2023-03-01,0.49964392018093545
2023-03-02,0.5177553741628024
2023-03-03,0.4069634218834284
2023-03-04,0.5080878396193057
2023-03-05,0.5021325246628404
2023-03-06,0.4821155726372803
2023-03-07,0.49860816056083657
2023-03-08,0.4677996458775866
2023-03-09,0.4237877711721657
2023-03-10,0.48390133911141137
2023-03-11,0.4801258994019911
2023-03-12,0.4899916504280646
2023-03-13,0.4615123123225423
2023-03-14,0.4534854780737073
2023-03-15,0.5186458403671188
2023-03-16,0.5231877819612667
2023-03-17,0.5174323960506323
2023-03-18,0.5049107189652621
2023-03-19,0.5163286705638117
2023-03-20,0.47559030974010913
2023-03-21,0.4737524872224642
2023-03-22,0.48337566072692145
2023-03-23,0.4738144560335354
2023-03-24,0.49448413367691924
2023-03-25,0.5279356062340375
2023-03-26,0.480028817659273
2023-03-27,0.5362768335791885
2023-03-28,0.44758687643002504
2023-03-29,0.46518477410510234
2023-03-30,0.4779668304344409
2023-03-31,0.4916818247096904
2023-04-01,0.585520750038583
2023-04-02,0.5287958373265248
2023-04-03,0.5014657762234481
2023-04-04,0.5127979028730706
2023-04-05,0.49792510686116737
2023-04-06,0.5635193943490605
2023-04-07,0.415989671712412
2023-04-08,0.5058182091974517
2023-04-09,0.49860145241359627
2023-04-10,0.48165539370477883
2023-04-11,0.44760763022659983
2023-04-12,0.5019205741905497
2023-04-13,0.4552269487477022
2023-04-14,0.5086440834102957
2023-04-15,0.5196014686316826
2023-04-16,0.49496736553095944
2023-04-17,0.4406638932632908
2023-04-18,0.4738920795734577
2023-04-19,0.4761718172444077
2023-04-20,0.47407291452624417
2023-04-21,0.5075637670459536
2023-04-22,0.5123491811501959
2023-04-23,0.48664575185612297
2023-04-24,0.4794279660437602
2023-04-25,0.5456557295906218
2023-04-26,0.5210194531914722
2023-04-27,0.5067180948026693
2023-04-28,0.4755443630112638
2023-04-29,0.49640135778397443
2023-04-30,0.47247834367767166
2023-05-01,0.5298457110694469
2023-05-02,0.5343755496420068
2023-05-03,0.5372201239005032
2023-05-04,0.4457942773225043
2023-05-05,0.5206225352524749
2023-05-06,0.46903416069385867
2023-05-07,0.4201042260802801
2023-05-08,0.5065219876312149
2023-05-09,0.45531649278426944
2023-05-10,0.5517749613403286
2023-05-11,0.47134282779716224
2023-05-12,0.5315505800115079
2023-05-13,0.5326392794206668
