Date,Score
2023-03-03,0.4589009125870192
2023-03-04,0.4980135145343504
2023-03-05,0.5051445269680588
2023-03-06,0.4658601643309865
2023-03-07,0.5499297503470538
2023-03-08,0.5148574359140072
2023-03-09,0.5162227462312481
2023-03-10,0.4537138960369816
2023-03-11,0.5765732139415837
2023-03-12,0.4832121287437352
2023-03-13,0.48011603085937926
2023-03-14,0.48113873376905414
2023-03-15,0.4991835934256672
2023-03-16,0.48548953454054444
2023-03-17,0.5245357011497984
2023-03-18,0.5353988815694047
2023-03-19,0.5266725142388938
2023-03-20,0.5017002887113066
2023-03-21,0.5543151486267536
2023-03-22,0.5125137990706454
2023-03-23,0.5006195959973413
2023-03-24,0.503596396681393
2023-03-25,0.5006751126392958
2023-03-26,0.5077215853729656
2023-03-27,0.46930475246227027
2023-03-28,0.550067354830534
2023-03-29,0.4842769443427218
2023-03-30,0.5044730782910883
2023-03-31,0.5055518131181224
2023-04-01,0.48063099204372217
2023-04-02,0.4775984976414749
2023-04-03,0.5042105434902777
2023-04-04,0.5144810558153838
2023-04-05,0.4786007066948663
2023-04-06,0.6273434103947335
2023-04-07,0.6078820231686339
2023-04-08,0.5243589059677136
2023-04-09,0.5446540068633552
2023-04-10,0.5405576272529542
2023-04-11,0.46063921101234256
2023-04-12,0.5385429524047911
2023-04-13,0.5367203394089339
2023-04-14,0.46980005695868976
2023-04-15,0.4626434709495047
2023-04-16,0.4471590317561469
2023-04-17,0.5115869626618089
2023-04-18,0.518941333316618
2023-04-19,0.4861925631875992
2023-04-20,0.4902167414036406
2023-04-21,0.5017625724607886
2023-04-22,0.45393048925731305
2023-04-23,0.3814346333492086
2023-04-24,0.5401652023451362
2023-04-25,0.4951110528495703
2023-04-26,0.601654111923723
2023-04-27,0.3428310169667225
2023-04-28,0.5103295562610626
2023-04-29,0.3823595500318096
2023-04-30,0.5100617355354282
2023-05-01,0.49833904562719045
2023-05-02,0.44385926998267466
2023-05-03,0.5631787505391391
2023-05-04,0.5139154300317501
2023-05-05,0.4814424234926566
2023-05-06,0.5156195385738
2023-05-07,0.38848826695412164
2023-05-08,0.49564075480156383
2023-05-09,0.4992699137457996
2023-05-10,0.525013528113032
2023-05-11,0.47736001977744547
2023-05-12,0.4165422305652126
2023-05-13,0.48529390915500736
